pipeline,layer_avg_energy_J__layer01_s0b0_pw1,layer_avg_latency_ms__layer01_s0b0_pw1,layer_avg_power_W__layer01_s0b0_pw1,layer_avg_energy_J__layer02_s0b0_lk31,layer_avg_latency_ms__layer02_s0b0_lk31,layer_avg_power_W__layer02_s0b0_lk31,layer_avg_energy_J__layer03_s0b0_sk5,layer_avg_latency_ms__layer03_s0b0_sk5,layer_avg_power_W__layer03_s0b0_sk5,layer_avg_energy_J__layer04_s0b0_pw2,layer_avg_latency_ms__layer04_s0b0_pw2,layer_avg_power_W__layer04_s0b0_pw2,layer_avg_energy_J__layer05_s0b1_pw1,layer_avg_latency_ms__layer05_s0b1_pw1,layer_avg_power_W__layer05_s0b1_pw1,layer_avg_energy_J__layer06_s0b1_pw2,layer_avg_latency_ms__layer06_s0b1_pw2,layer_avg_power_W__layer06_s0b1_pw2,layer_avg_energy_J__layer13_s1b0_pw1,layer_avg_latency_ms__layer13_s1b0_pw1,layer_avg_power_W__layer13_s1b0_pw1,layer_avg_energy_J__layer14_s1b0_lk29,layer_avg_latency_ms__layer14_s1b0_lk29,layer_avg_power_W__layer14_s1b0_lk29,layer_avg_energy_J__layer15_s1b0_sk5,layer_avg_latency_ms__layer15_s1b0_sk5,layer_avg_power_W__layer15_s1b0_sk5,layer_avg_energy_J__layer16_s1b0_pw2,layer_avg_latency_ms__layer16_s1b0_pw2,layer_avg_power_W__layer16_s1b0_pw2,layer_avg_energy_J__layer17_s1b1_pw1,layer_avg_latency_ms__layer17_s1b1_pw1,layer_avg_power_W__layer17_s1b1_pw1,layer_avg_energy_J__layer18_s1b1_pw2,layer_avg_latency_ms__layer18_s1b1_pw2,layer_avg_power_W__layer18_s1b1_pw2,pipeline_latency_ms,pipeline_energy_J,p2p_transfer_energy_J,pipeline_energy_with_idle_J,pipeline_energy_with_idle_and_p2p_J
replknet31b_b1,0.00045356000000000004,0.002986915283203125,151.80868960621333,0.066128,0.1734760284423828,381.0997442137675,0.0012307800000000001,0.0036607205200195315,336.1422826074417,0.00064682,0.003129556579589844,206.63873957937037,0.0026324,0.006261144409179687,420.37710596753624,0.00237008,0.004289597473144531,552.4332374955935,0.00059402,0.0032865716552734374,180.71855061351133,0.0,0.1086343002319336,0.0,0.00070188,0.0026492440795898436,264.87935266458766,0.00058904,0.0032945196533203124,178.75714902008775,0.00214006,0.005057544250488281,423.0870468393122,0.00266708,0.006960379028320312,383.1554009403813,0.3236865216064453,0.08015372000000003,0.016699,0.159265,0.175964
replknet31b_b16,0.007296380000000001,0.01273215087890625,573.0471182290904,0.8917619999999999,1.823859619140625,488.9253620008784,0.01140098,0.02415083984375,472.0542588677441,0.00749958,0.012728341064453126,589.1804165458525,0.02543072,0.043110419921875,589.8862742505473,0.02092612,0.03536427490234375,591.7204427251467,0.009816799999999999,0.01654776123046875,593.2179400847625,0.499808,0.857184814453125,583.0531280318365,0.00539232,0.0132112451171875,408.1430822977941,0.010810460000000001,0.016555960693359375,652.9283193537407,0.02281996,0.037646572265625,606.1492511658015,0.01519914,0.03551108642578125,428.00339740258636,2.9286030859375005,1.52816246,0.267177,2.381260,2.648437
replknet31b_b4,0.0027567399999999997,0.006153450317382812,447.95534449834275,0.18054800000000001,0.4851224365234375,372.1171664992193,0.0027426799999999995,0.007857276611328125,349.02554385631845,0.0027127999999999996,0.006078177490234375,446.2850297728944,0.00738078,0.012519029541015626,589.5385543433522,0.0088251,0.017911787109375,492.6716665317989,0.00257106,0.006137203369140625,418.89830434146495,0.079364,0.2552917785644531,310.8276383593563,0.00165706,0.005165590209960938,320.73957269211144,0.00248786,0.0061342578125,405.5403473216596,0.00912076,0.017122847900390627,532.634707534263,0.0055114,0.017386512451171874,316.9841135370112,0.8428803479003907,0.30567824,0.066794,0.529715,0.596509
replknet31b_b8,0.00502218,0.010163004760742188,494.13395186106425,0.38745999999999997,0.9137847290039063,423.9986770577832,0.00592444,0.01313914794921875,450.87454200249334,0.00552446,0.010161929321289063,543.6065467389313,0.013136020000000002,0.02220989501953125,591.4350739428642,0.01798588,0.0299873876953125,599.7685122243203,0.0052783199999999995,0.009895420532226562,533.3701778455099,0.184856,0.4554849853515625,405.8090920491508,0.0028171,0.00786405029296875,358.1945310757623,0.00511052,0.009890911254882813,516.6543299342394,0.0125855,0.02095101318359375,600.6971496262952,0.00720704,0.017430302734375,413.4654557394538,1.5209627770996095,0.6529074600000001,0.133589,1.077908,1.211497
