pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__FFN-1,layer_avg_latency_ms__FFN-1,layer_avg_power_W__FFN-1,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__Output-proj,layer_avg_latency_ms__Output-proj,layer_avg_power_W__Output-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J
B1_P1024_M1024,0.059493899999999995,0.14512322998046875,409.9280111968325,1.107578,2.75858642578125,401.4779568546138,1.1312339999999999,2.931640380859375,385.8474550429056,0.30002660000000003,0.75406142578125,397.87274902210794,0.31333999999999995,0.7410503540039063,422.75504744979196,0.3004272,0.753575732421875,398.6615754018541,0.0791115,0.20096307373046876,393.6434811999468,0.1031877,0.2601021484375,396.7049956642308,0.3000294,0.754616943359375,397.5841517898753,9.299719714355469,3.6944283
B1_P2048_M2048,0.2000298,0.506195068359375,395.15293526517104,2.301148,5.84800439453125,393.4789342571925,2.2429720000000004,5.59050537109375,401.19400058959735,0.5893484999999999,1.486983203125,396.331820719815,0.543008,1.4814249267578126,366.5080909641175,0.5921991,1.48859228515625,397.81829548032937,0.3355594,0.8373275390625,400.74212414933186,0.4642796,1.1685439453125,397.30754756544326,0.5922197,1.48742490234375,398.14429915889394,19.895001635742187,7.860764099999999
B1_P256_M256,0.002643,0.013094195556640625,201.7548750482645,0.310548,0.7806402587890625,397.7475226378395,0.322108,0.766455810546875,420.17498631284207,0.0795738,0.20049500732421874,396.86822276042426,0.05281,0.19022848510742188,277.4452859094588,0.0798455,0.200085302734375,399.0422272877177,0.005307,0.015265997314453125,347.49626940749937,0.002727,0.014036685180664062,194.19365528271692,0.0803051,0.20068228759765624,400.14342382101756,2.380984030151367,0.9358674
B1_P512_M512,0.0190147,0.04307220458984375,441.4000112584844,0.63578,1.482049560546875,428.94643859477617,0.63171,1.4736895751953125,428.61722113618606,0.1522397,0.380720947265625,399.8625018702952,0.151062,0.37211749267578126,405.8057641177995,0.1520266,0.3810870361328125,398.9186868665969,0.0229175,0.054463897705078125,420.73441468078084,0.0273622,0.06648237915039062,411.5307696450637,0.1519229,0.3811095458984375,398.62254201885474,4.634792639160157,1.9440355999999999
B2_P1024_M1024,0.11175689999999999,0.2836851806640625,393.9313574561245,2.3016199999999998,5.848958984375,393.4947864930705,2.243074,5.57823388671875,402.09437629627274,0.5930883,1.48820810546875,398.51859201022353,0.5545800000000001,1.4795242919921876,374.80558556915577,0.5921028,1.48921689453125,397.5868933710059,0.1551237,0.39337880859375,394.3245911295091,0.2038116,0.5108115234375,398.98566538054183,0.5927863,1.487861328125,398.408525178227,18.55987900390625,7.3479436
B2_P2048_M2048,0.3969536,0.99154560546875,400.33036977511154,4.5563400000000005,11.444271484375,398.1232350781275,4.394938,11.0275849609375,398.53050930620543,1.2395075,3.1040587890625,399.31283593477394,1.2127940000000001,3.10268310546875,390.8598329452188,1.2356264,3.0984375,398.7846060760026,0.6648857,1.6673361328125,398.7648231628781,0.9254028,2.3236412109375,398.24968061501113,1.2387718,3.1023330078125,399.2978760758882,39.861891796875,15.8652198
B2_P256_M256,0.006341299999999999,0.02367764434814453,267.75209522875986,0.560014,1.483515869140625,377.45121865221194,0.628404,1.48318408203125,423.64474696843854,0.1556293,0.38398935546875,405.285113737501,0.16203399999999998,0.3717222290039062,435.7653304432535,0.1521985,0.384008203125,396.33124652832043,0.007441,0.027833651733398437,267.2806609802565,0.0150636,0.037943194580078124,396.93122382895643,0.15176389999999998,0.3838402587890625,395.372085666824,4.5797144882202145,1.8388896
B2_P512_M512,0.032086,0.07874109497070313,407.4515847043992,1.110578,2.75940966796875,402.44592358972756,1.134128,2.9282509765625,387.28229851178196,0.3009265,0.75590029296875,398.0959600048105,0.30893,0.7526256713867188,410.3983542193804,0.29992379999999996,0.7560900390625,396.6696168952522,0.0393687,0.1061402587890625,370.88487127164245,0.047096,0.12584007568359376,374.22994794354173,0.2999989,0.755919873046875,396.8585461843221,9.018917950439453,3.5730359
B4_P1024_M1024,0.21577310000000002,0.540564794921875,399.15219700498153,4.577786,11.4472568359375,399.8926859388601,4.309514,10.9890810546875,392.1535878460788,1.2391638999999999,3.1062005859375,398.92693401674023,1.20666,3.10727880859375,388.31288293590643,1.2357433,3.101446875,398.435468635111,0.31198180000000003,0.780710205078125,399.6044244891441,0.40394189999999996,1.0099427734375,399.9576764112139,1.2393872,3.1074841796875,398.8339823489521,37.18996611328125,14.7399512
B4_P2048_M2048,0.7947124,1.9926623046875,398.8134798896006,8.988858,22.568294921875,398.2887675700669,8.697692,21.962318359375,396.0208153216035,2.5809001,6.472932421875,398.71706740497916,2.56487,6.508947265625,394.03942989777926,2.5766188999999997,6.47116015625,398.1646978303696,1.3245326,3.327818359375,398.0129740530278,1.8540046,4.654473828125,398.3223944687426,2.5761748,6.464232421875,398.52272370888545,80.42284003906249,31.9583634
B4_P256_M256,0.0222558,0.0548853759765625,405.4518837105327,1.0402840000000002,2.76031494140625,376.8492131852087,1.1971939999999999,2.934032470703125,408.0137416826337,0.3004929,0.75481181640625,398.09562646178597,0.317262,0.7422914428710937,427.3319340202225,0.300061,0.754931494140625,397.4603006706357,0.0231957,0.06007265014648438,386.0862175129428,0.027087,0.07110225830078125,380.9214067082094,0.3000566,0.75471689453125,397.5675207892654,8.887159344482422,3.527889
B4_P512_M512,0.056414099999999995,0.14739200439453126,382.72780341103055,2.305712,5.84655859375,394.3569312031622,2.2349259999999997,5.575591796875,400.8258839026584,0.592287,1.48756689453125,398.15161604974196,0.563956,1.4715064697265625,383.21395925895155,0.5921572,1.488370703125,397.8494874449173,0.0834034,0.20297799072265624,410.8794311790914,0.0954325,0.2441511962890625,390.85911242884043,0.5925758,1.488080859375,398.2082128300384,17.95219650878906,7.116864
B8_P1024_M1024,0.424839,1.06456591796875,399.0652208285773,8.993226,22.529873046875,399.1618331632355,8.703933999999999,21.95973828125,396.3514212553733,2.5899831,6.50030625,398.4352995955716,2.57179,6.4982568359375,395.7532621177576,2.5926796,6.504157421875,398.61400930053213,0.6178899999999999,1.55345380859375,397.74582831243254,0.8016412,2.018619921875,397.1174186371297,2.5894219,6.49907265625,398.424624951271,75.12804414062501,29.885404799999996
B8_P2048_M2048,1.5891426,3.9850359375,398.7723515557596,18.080316,45.48901953125,397.4597681005114,17.415802,43.7022265625,398.5048056925241,4.5947798,11.51942109375,398.8678341070014,4.563428,11.53927734375,395.4598016586162,4.5899258000000005,11.51417109375,398.6280942786632,2.6502871,6.654325,398.27558569422604,3.7046697999999996,9.3019515625,398.26334165857696,4.5891275,11.51001640625,398.7026870441279,155.21544453125,61.777478599999995
B8_P256_M256,0.0392068,0.09976412353515625,392.96782007226153,2.298038,5.84487109375,393.15819614017454,2.2357739999999997,5.5746435546875,401.0473420575452,0.5928832,1.4876314453125,398.5352570678169,0.5647300000000001,1.469528076171875,384.2534505030809,0.5923347,1.48803564453125,398.058421515556,0.0438996,0.11604337158203125,378.2795086794833,0.0518063,0.1362503662109375,380.20769755980723,0.5921644,1.487483203125,398.09177472906777,17.70425087890625,7.010837
B8_P512_M512,0.1120295,0.282779345703125,396.1586733329102,4.5697,11.4442626953125,399.2907406708326,4.305802,10.9890703125,391.8164212347362,1.2351545,3.103019140625,398.04388321219267,1.2057360000000001,3.105923095703125,388.1850469518995,1.2355033,3.1022076171875,398.26045001183144,0.1562568,0.3969914794921875,393.5905144607159,0.1886586,0.48044267578125,392.66665376151695,1.2353654,3.102784375,398.1419951318947,36.00748073730469,14.2442061
