pipeline,layer_avg_energy_J__layer06_feat2_expand,layer_avg_latency_ms__layer06_feat2_expand,layer_avg_power_W__layer06_feat2_expand,layer_avg_energy_J__layer07_feat2_dw,layer_avg_latency_ms__layer07_feat2_dw,layer_avg_power_W__layer07_feat2_dw,layer_avg_energy_J__layer08_feat2_project,layer_avg_latency_ms__layer08_feat2_project,layer_avg_power_W__layer08_feat2_project,layer_avg_energy_J__layer17_feat5_expand,layer_avg_latency_ms__layer17_feat5_expand,layer_avg_power_W__layer17_feat5_expand,layer_avg_energy_J__layer18_feat5_dw,layer_avg_latency_ms__layer18_feat5_dw,layer_avg_power_W__layer18_feat5_dw,layer_avg_energy_J__layer19_feat5_se_fc1,layer_avg_latency_ms__layer19_feat5_se_fc1,layer_avg_power_W__layer19_feat5_se_fc1,layer_avg_energy_J__layer20_feat5_se_fc2,layer_avg_latency_ms__layer20_feat5_se_fc2,layer_avg_power_W__layer20_feat5_se_fc2,layer_avg_energy_J__layer21_feat5_project,layer_avg_latency_ms__layer21_feat5_project,layer_avg_power_W__layer21_feat5_project,layer_avg_energy_J__layer42_feat10_expand,layer_avg_latency_ms__layer42_feat10_expand,layer_avg_power_W__layer42_feat10_expand,layer_avg_energy_J__layer43_feat10_dw,layer_avg_latency_ms__layer43_feat10_dw,layer_avg_power_W__layer43_feat10_dw,layer_avg_energy_J__layer44_feat10_se_fc1,layer_avg_latency_ms__layer44_feat10_se_fc1,layer_avg_power_W__layer44_feat10_se_fc1,layer_avg_energy_J__layer45_feat10_se_fc2,layer_avg_latency_ms__layer45_feat10_se_fc2,layer_avg_power_W__layer45_feat10_se_fc2,layer_avg_energy_J__layer46_feat10_project,layer_avg_latency_ms__layer46_feat10_project,layer_avg_power_W__layer46_feat10_project,pipeline_latency_ms,pipeline_energy_J,pipeline_energy_with_idle_J,p2p_transfer_energy_J,pipeline_energy_with_idle_and_p2p_J
mobilenet_v3_small_b1,0.00017986,0.0017753208923339844,101.24886927665916,0.00028618,0.0017940800476074219,159.4650979286518,0.00029336,0.0018333946228027344,159.95453933112796,0.00095024,0.005208125,182.4152811686443,0.00026532,0.0025284288024902345,104.90198207588837,0.00023396000000000002,0.0019669549560546876,118.91497726038953,0.0002038,0.0015821554565429688,128.7791239157113,0.0006084,0.004997569885253906,121.72825202942386,0.0003033,0.002417694091796875,125.4252765459433,0.00025803999999999996,0.001850515899658203,139.3994381273734,0.00027094,0.002006373748779297,134.99922397827766,0.00024448,0.0019085466003417968,128.06996906956513,0.0004914800000000001,0.004175730590820313,117.67465512963093,0.03404489059448242,0.00458936,0.006104,0.001473,0.007577
mobilenet_v3_small_b16,0.0028301600000000004,0.005841435546875,484.45762557277203,0.0029775799999999996,0.007894381713867188,377.15935946727143,0.00114112,0.0031052972412109374,367.42870049012157,0.0007287999999999999,0.003759920654296875,193.8130657067329,0.00160476,0.005111930847167968,313.88426926849877,0.0008227,0.0025939678955078124,317.101601415474,0.0,0.0016538648986816407,0.0,0.00132332,0.004148837890625,318.9303267748928,0.0012237399999999999,0.0073254296875,167.03279508457308,0.00205618,0.005444976196289062,377.589815820609,0.00060156,0.0036156222534179687,166.35870017679446,0.00023478000000000003,0.002249782409667969,104.33677459597672,0.00161318,0.010721016845703125,150.46281761868417,0.06346646408081055,0.017157879999999997,0.020574,0.023575,0.044149
mobilenet_v3_small_b4,0.00118874,0.002764012145996094,430.0107739581356,0.00067194,0.003566860046386719,188.36208361794763,0.00100706,0.0022886898803710937,439.9360477664046,0.00040473999999999995,0.00222682373046875,181.72497304789843,0.00043052,0.0025684051513671876,167.5822917950169,0.00060562,0.0034938739013671877,173.31611936664197,0.00043048,0.0034080142211914063,126.28480957653262,0.00028866,0.0031466311645507814,91.72403925050143,0.00077836,0.002723263244628906,285.77762065777165,0.00030765999999999996,0.0023824217224121093,129.10717641324746,0.0007260200000000001,0.0037303924560546874,194.60172009233565,0.00048796,0.004301987915039063,113.41054598278394,0.0008186199999999999,0.005452986450195312,150.11123971958972,0.042054362030029296,0.008146379999999998,0.009444,0.005894,0.015338
mobilenet_v3_small_b8,0.0014083000000000001,0.003842034606933594,366.47144600322434,0.0023879599999999997,0.005061356811523437,471.759191722214,0.0005336200000000001,0.0027569509887695313,193.52727608227914,0.0010367199999999999,0.0026960992431640626,384.46904373566616,0.001203,0.003576026916503906,336.3520734887034,0.00033106,0.002577174377441406,128.43760003008163,0.00021372,0.0016479461669921874,129.66094135269248,0.00071092,0.0034246405029296875,207.55216016512543,0.00121498,0.007005602416992188,173.41603563325606,0.00112606,0.0035620883178710937,316.0353981416323,0.00064348,0.0036203436279296877,177.71818897818665,0.00023122,0.0022333343505859375,103.51378849772892,0.00102014,0.005477177124023437,186.23933631796788,0.04748077545166016,0.012061180000000001,0.014023,0.011787,0.025810
