pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__FFN-1,layer_avg_latency_ms__FFN-1,layer_avg_power_W__FFN-1,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__Output-proj,layer_avg_latency_ms__Output-proj,layer_avg_power_W__Output-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J
B1_P1_M2048,0.00067518,0.006109655151367187,110.49214114124254,0.097664,0.47405056762695313,205.97111233212058,0.10113599999999999,0.47661465454101565,212.14599149735275,0.03303766666666667,0.1289922587076823,256.0841932006588,0.040311,0.1290618896484375,312.2135757396737,0.022337,0.13002035522460936,171.7658339769607,0.00054272,0.004416573486328125,122.85618704062729,0.0008907599999999999,0.0105668408203125,84.28921497567853,0.033003,0.1290202433268229,255.7632679434478,1.4888530385335286,0.32959732666666663
B2_P1_M2048,0.00090056,0.007268577270507812,123.87967038398337,0.145258,0.4748861389160156,305.81374287829095,0.164714,0.48875314331054687,336.9296428093992,0.034001666666666666,0.12797337849934895,265.65235084069224,0.037084000000000006,0.12819046020507813,289.17125393254895,0.034642,0.12795938110351562,270.6913408554663,0.0006667,0.004926607360839844,135.2976520338415,0.0010132,0.010633114013671875,95.27770445437326,0.033836,0.12794061279296876,264.42755287580076,1.4985314134724934,0.4521161266666667
B4_P1_M2048,0.00114262,0.007273697509765625,157.0678949930525,0.099286,0.4814356384277344,206.18225978455877,0.167654,0.4901212158203125,341.9889734696585,0.033923666666666664,0.128140625,264.70114158887066,0.040249,0.12819558715820312,313.84071307659315,0.034284666666666665,0.1281614481608073,267.47429232554714,0.00123318,0.006040576171875,204.10985330758436,0.00154966,0.0106998583984375,144.81625312997247,0.035152666666666665,0.12809830729166666,274.3827522467193,1.508166953938802,0.41447546
B8_P1_M2048,0.0014054,0.008379842529296876,167.69005886732145,0.100188,0.48415130615234375,206.89198101234527,0.171904,0.49179443359375,349.4662187298356,0.03473233333333334,0.1284631856282552,270.3329330241599,0.043021000000000004,0.1285201873779297,334.5956598369135,0.03503233333333333,0.12847650146484374,272.6373569029995,0.00117998,0.0064534326171875,182.81728252501372,0.0018214799999999999,0.01164222412109375,156.43958443139778,0.03476766666666667,0.12846524047851562,270.5967523989294,1.5163463539632163,0.4240521933333333
